iter	MultiClass
0	1.507514945
1	1.30127864
2	1.165670337
3	1.048622199
4	0.9405565161
5	0.8557258336
6	0.7787269125
7	0.7215298419
8	0.6665093609
9	0.6062743782
10	0.559257166
11	0.514124383
12	0.4737410007
13	0.4430863437
14	0.4078642575
15	0.3779476886
16	0.3543258602
17	0.3293197227
18	0.3078846443
19	0.2898901862
20	0.2711880166
21	0.2548687487
22	0.2394435129
23	0.2235390457
24	0.2095983154
25	0.1967252801
26	0.1878731631
27	0.1762088237
28	0.1653424903
29	0.1567061634
30	0.1475898296
31	0.1387167055
32	0.1318581294
33	0.1240352168
34	0.1167922111
35	0.1117346749
36	0.1065409441
37	0.1014152149
38	0.09617883669
39	0.09175279622
40	0.08750619367
41	0.0829102725
42	0.07925686764
43	0.07611141557
44	0.07268401994
45	0.06924078205
46	0.06627063045
47	0.06367738173
48	0.06090951733
49	0.05910671429
50	0.0564155565
51	0.05398980891
52	0.05206914192
53	0.05008673151
54	0.04791830582
55	0.04591771164
56	0.04465266981
57	0.04300964017
58	0.04171286186
59	0.04047917781
60	0.03906862635
61	0.03766114273
62	0.03661542785
63	0.03552524225
64	0.03437408521
65	0.03321844177
66	0.03222650018
67	0.03129437438
68	0.03060293491
69	0.02973737126
70	0.02892271787
71	0.02807079226
72	0.02771847397
73	0.0271020288
74	0.02645870067
75	0.02578914645
76	0.02521208045
77	0.02464288879
78	0.02398659302
79	0.02333284161
80	0.02280153859
81	0.02229372255
82	0.02171461892
83	0.02122965038
84	0.02070070746
85	0.0202545386
86	0.01983110114
87	0.01941780686
88	0.01897813642
89	0.01858121554
90	0.01821249499
91	0.01790254408
92	0.01755785884
93	0.01731746114
94	0.01694046198
95	0.01662813117
96	0.01642973059
97	0.01614528169
98	0.0158145361
99	0.01553849196
100	0.01527127947
101	0.01501592676
102	0.01477188015
103	0.01452850804
104	0.01425115901
105	0.01402929202
106	0.01380789588
107	0.01359298957
108	0.01334904464
109	0.01311298731
110	0.01292459739
111	0.01269958947
112	0.01251523249
113	0.01233589547
114	0.01212902095
115	0.01190558158
116	0.01171156813
117	0.01156751884
118	0.011383489
119	0.01120483393
120	0.01107293648
121	0.01090481199
122	0.01076753449
123	0.0106061935
124	0.01046551966
125	0.01031244773
126	0.01020412915
127	0.01008146692
128	0.009940001094
129	0.009823255185
130	0.009687039382
131	0.009555697899
132	0.009459779151
133	0.009353467375
134	0.00926087748
135	0.009140031896
136	0.009040476068
137	0.008923725028
138	0.008810992841
139	0.008699783502
140	0.008609067663
141	0.008529207721
142	0.008425646629
143	0.008340341769
144	0.008241043409
145	0.008143982508
146	0.008048075189
147	0.007969857475
148	0.007902575897
149	0.007812886792
150	0.007725132278
151	0.007660673765
152	0.007576130165
153	0.007514164941
154	0.007453784674
155	0.007373493359
156	0.007294853034
157	0.007237675181
158	0.007182015023
159	0.007107197498
160	0.007052636985
161	0.006998776747
162	0.00692754047
163	0.006875290125
164	0.00682504756
165	0.006756358631
166	0.006689001173
167	0.00664102139
168	0.006594180896
169	0.006529851158
170	0.006467431251
171	0.006422076623
172	0.006371463613
173	0.006321631715
174	0.006277697747
175	0.006219115877
176	0.006161592989
177	0.006121171731
178	0.006080767836
179	0.006040109406
180	0.006000560812
181	0.005961275443
182	0.005908203662
183	0.005861915108
184	0.005824929284
185	0.005787676929
186	0.005751189381
